requested_at,confirmed_at,finished_at,predicted_duration
2019-05-31 17:05:20.943000,2019-05-31 17:06:33.353000,2019-05-31 17:18:27.990000,114082
2019-05-31 14:06:10.879000,2019-05-31 14:06:33.860000,2019-05-31 14:12:20.983000,275
2019-05-31 14:17:55.781000,2019-05-31 14:18:57.483000,2019-05-31 14:35:43.587000,772
2019-05-31 14:56:01.252000,2019-05-31 14:56:16.068000,2019-05-31 15:02:17.130000,231
2019-05-31 15:42:38.525000,2019-05-31 15:43:05.561000,2019-05-31 15:53:13.995000,356
2019-06-01 16:10:57.577000,2019-06-01 16:11:50.041000,2019-06-01 16:21:13.052000,604
2019-06-01 20:01:23.169000,2019-06-01 20:10:01.531000,2019-06-01 20:17:04.348000,306
2019-06-03 16:41:18.887000,2019-06-03 16:42:14.362000,2019-06-03 17:00:36.609000,474
2019-06-01 15:40:15.906000,2019-06-01 15:42:01.692000,2019-06-01 15:47:35.964000,375
2019-06-01 15:44:30.817000,2019-06-01 15:59:29.478000,2019-06-01 15:59:41.510000,367
2019-06-01 16:38:07.058000,2019-06-01 16:40:00.107000,2019-06-01 16:47:36.047000,276
2019-06-01 17:16:05.402000,2019-06-01 17:20:18.213000,2019-06-01 17:30:55.484000,623
2019-06-01 18:15:36.493000,2019-06-01 18:17:38.748000,2019-06-01 18:25:45.335000,396
2019-06-01 19:43:48.319000,2019-06-01 20:21:02.431000,2019-06-01 20:28:13.611000,261
2019-06-01 20:11:23.877000,2019-06-01 20:20:44.195000,2019-06-01 20:36:58.470000,289
2019-06-01 20:14:00.049000,2019-06-01 20:20:33.377000,2019-06-01 20:45:57.254000,598
2019-06-01 21:20:03.968000,2019-06-01 21:21:18.040000,2019-06-01 21:30:12.116000,301
2019-06-03 14:10:07.410000,2019-06-03 14:17:18.364000,2019-06-03 14:23:14.051000,381
2019-06-03 14:20:03.200000,2019-06-03 14:24:08.504000,2019-06-03 14:50:49.608000,619
2019-06-03 15:27:38.118000,2019-06-03 15:27:59.518000,2019-06-03 15:32:07.221000,213
2019-06-03 18:57:06.086000,2019-06-03 19:09:55.823000,2019-06-03 19:35:09.089000,1128
2019-06-03 19:11:19.021000,2019-06-03 19:50:24.533000,2019-06-03 19:50:31.041000,333
2019-06-03 19:23:38.668000,2019-06-03 19:50:05.513000,2019-06-03 19:50:16.498000,337
2019-06-04 14:06:14.419000,2019-06-04 14:06:20.959000,2019-06-04 14:18:32.310000,399
2019-06-04 15:27:31.297000,2019-06-04 15:27:46.980000,2019-06-04 15:40:47.752000,734
2019-06-03 18:43:02.937000,2019-06-03 18:43:30.525000,2019-06-03 18:57:05.617000,565
2019-06-03 19:44:10.389000,2019-06-03 19:53:47.136000,2019-06-03 20:05:32.459000,560
2019-06-04 14:31:50.490000,2019-06-04 14:32:03.478000,2019-06-04 14:45:45.431000,1016
2019-06-04 20:14:17.601000,2019-06-04 20:33:14.323000,2019-06-04 20:56:03.529000,853
2019-06-04 17:26:48.086000,2019-06-04 17:27:46.584000,2019-06-04 17:38:56.550000,448
2019-06-04 18:50:59.659000,2019-06-04 18:51:19.214000,2019-06-04 19:05:26.626000,789
2019-06-05 14:24:58.015000,2019-06-05 14:29:52.058000,2019-06-05 14:35:26.198000,231
2019-06-05 14:47:12.304000,2019-06-05 14:56:49.186000,2019-06-05 15:06:28.810000,605
2019-06-04 21:03:11.433000,2019-06-04 21:20:10.577000,2019-06-04 21:38:01.871000,608
2019-06-05 14:15:55.391000,2019-06-05 14:16:30.057000,2019-06-05 14:23:29.243000,304
2019-06-05 14:24:00.152000,2019-06-05 14:29:47.443000,2019-06-05 14:43:29.584000,455
2019-06-05 15:21:42.482000,2019-06-05 15:24:01.322000,2019-06-05 15:35:44.927000,534
2019-06-05 17:28:28.034000,2019-06-05 17:29:07.024000,2019-06-05 17:37:21.797000,596
2019-06-06 14:08:00.886000,2019-06-06 14:08:14.573000,2019-06-06 14:28:20.495000,789
2019-06-05 16:20:10.878000,2019-06-05 16:26:11.866000,2019-06-05 16:37:26.375000,529
2019-06-05 16:20:22.564000,2019-06-05 16:26:24.651000,2019-06-05 16:49:03.256000,686
2019-06-05 18:02:52.341000,2019-06-05 18:04:33.044000,2019-06-05 18:20:23.161000,707
2019-06-06 14:52:07.546000,2019-06-06 14:52:43.602000,2019-06-06 15:00:33.416000,326
2019-06-06 16:24:51.983000,2019-06-06 16:25:36.657000,2019-06-06 16:35:53.804000,471
2019-06-06 16:53:00.504000,2019-06-06 16:53:08.984000,2019-06-06 17:05:26.086000,336
2019-06-06 17:36:13.670000,2019-06-06 17:36:26.915000,2019-06-06 17:54:17.207000,805
